candidate_phrase,normalized_phrase,query,occurrence_count,source_count,evidence_id,source_id,source_title,author,page_number,heading,matched_raw_terms,matched_registered_terms,proximity_reason,first_seen_at,status
the image of god,the image of god,image of God,20,4,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
and works its,and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
and works its agreement,and works its agreement,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
and works its agreement with,and works its agreement with,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
apostle james concerning faith,apostle james concerning faith,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
concerning faith and works,concerning faith and works,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
concerning faith and works its,concerning faith and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
faith and works its,faith and works its,faith and works,13,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
holy spirit,holy spirit,procession of the spirit,10,5,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
the holy spirit,the holy spirit,procession of the spirit,10,5,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
of original sin,of original sin,original sin,10,2,AQUINAS_NATURE_GRACE_EVID_00130_BODY_01,AQUINAS_NATURE_GRACE,Nature and Grace: Selections from the Summa Theologica of Thomas Aquinas,Thomas Aquinas,130,Art. 2: Whether there are Many Original Sins in One Man,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
whether original sin,whether original sin,original sin,10,2,AQUINAS_SUMMA_EVID_02333_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2333,Article. 3 - Whether original sin is concupiscence?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
apostle james concerning faith and,apostle james concerning faith and,faith and works,10,1,JOHN_OWEN_JUST_EVID_00381_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,381,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
of the holy spirit,of the holy spirit,procession of the spirit,8,4,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
image of god is,image of god is,image of God,8,2,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
of god is,of god is,image of God,8,2,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
the image of god is,the image of god is,image of God,8,2,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
original sin is,original sin is,original sin,8,2,AQUINAS_SUMMA_EVID_02333_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2333,Article. 3 - Whether original sin is concupiscence?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
sin is,sin is,original sin,8,2,AQUINAS_SUMMA_EVID_02333_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2333,Article. 3 - Whether original sin is concupiscence?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
whether original sin is,whether original sin is,original sin,8,2,AQUINAS_SUMMA_EVID_02333_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2333,Article. 3 - Whether original sin is concupiscence?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
as the image of,as the image of,image of God,7,1,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY_EVID_00194_BODY_01,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY,Systematic Theology,Louis Berkhof,194,III. Man as the Image of God,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
as the image of god,as the image of god,image of God,7,1,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY_EVID_00194_BODY_01,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY,Systematic Theology,Louis Berkhof,194,III. Man as the Image of God,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
image of god part,image of god part,image of God,7,1,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY_EVID_00194_BODY_01,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY,Systematic Theology,Louis Berkhof,194,III. Man as the Image of God,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
the image of god part,the image of god part,image of God,7,1,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY_EVID_00194_BODY_01,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY,Systematic Theology,Louis Berkhof,194,III. Man as the Image of God,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
whether the image of,whether the image of,image of God,7,1,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
intellectual soul,intellectual soul,Animal soul,6,2,AQUINAS_SUMMA_EVID_00988_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,988,Article. 3 - Whether besides the intellectual soul there are in man other souls essentially different from one another?,animal; soul,soul,animal~soul in body (6),2026-09-04T17:19:48.899911+00:00,pending
soul is,soul is,Animal soul,6,2,AQUINAS_SUMMA_EVID_00997_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,997,Article. 7 - Whether the soul is united to the animal body by means of a body?,animal; soul,soul,animal~soul in heading (18); animal~soul in body (18),2026-09-04T17:19:48.899911+00:00,pending
the three persons,the three persons,relationship between three persons in trinity,6,2,AQUINAS_SUMMA_EVID_00590_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,590,Article. 3 - Whether essential names should be predicated in the singular of the three persons?,persons; three; trinity,deity; essence; father; holy ghost; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (49); persons~three persons in heading (0); persons~trinity in heading (37),2026-09-04T17:19:48.899911+00:00,pending
whether the image of god,whether the image of god,image of God,6,1,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
image of god in,image of god in,image of God,5,2,AQUINAS_SUMMA_EVID_01205_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1205,Article. 5 - Whether the image of God is in man according to the Trinity of Persons?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
the intellectual soul,the intellectual soul,Animal soul,5,1,AQUINAS_SUMMA_EVID_00988_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,988,Article. 3 - Whether besides the intellectual soul there are in man other souls essentially different from one another?,animal; soul,soul,animal~soul in body (6),2026-09-04T17:19:48.899911+00:00,pending
as the image,as the image,image of God,5,1,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY_EVID_00194_BODY_01,LOUIS_BERKHOF_SYSTEMATICTHEOLOGY,Systematic Theology,Louis Berkhof,194,III. Man as the Image of God,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
controversy on the procession,controversy on the procession,procession of the spirit,5,1,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
controversy on the procession of,controversy on the procession of,procession of the spirit,5,1,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
on the procession,on the procession,procession of the spirit,5,1,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
essence three,essence three,relationship between three persons in trinity,5,1,NPNF1_03_EVID_00267_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,267,"Why We Do Not in the Trinity Speak of One Person, and Three Essences. What He Ought to Believe Concerning the Trinity Who Does Not Receive What is Said Above. Man is Both After the Image, and is the Image of God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (26); persons~three persons in heading (0); persons~trinity in heading (14),2026-09-04T17:19:48.899911+00:00,pending
the image of god in,the image of god in,image of God,4,2,AQUINAS_SUMMA_EVID_01205_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1205,Article. 5 - Whether the image of God is in man according to the Trinity of Persons?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
image of god is in,image of god is in,image of God,4,1,AQUINAS_SUMMA_EVID_01198_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1198,Article. 1 - Whether the image of God is in man?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
of god is in,of god is in,image of God,4,1,AQUINAS_SUMMA_EVID_01198_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1198,Article. 1 - Whether the image of God is in man?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
of the spirits the world,of the spirits the world,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
spirits the world,spirits the world,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
spirits the world of,spirits the world of,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
the spirits the world,the spirits the world,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
the spirits the world of,the spirits the world of,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
world of the spirits,world of the spirits,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
world of the spirits the,world of the spirits the,procession of the spirit,4,1,ABRAHAM_KUYPER_GREATER_EVID_00049_BODY_01,ABRAHAM_KUYPER_GREATER,You Can Do Greater Things Than Christ,Abraham Kuyper,49,THE WORLD OF THE SPIRITS,spirit,,,2026-09-04T17:19:48.899911+00:00,pending
human soul,human soul,Animal soul,3,3,PHILIP_SCHAFF_HCC1_EVID_00481_BODY_01,PHILIP_SCHAFF_HCC1,"History of the Christian Church, Volume I: Apostolic Christianity. A.D. 1-100",Philip Schaff,481,John and the Gospel of Love,animal; soul,soul,animal~soul in body (1),2026-09-04T17:19:48.899911+00:00,pending
by faith,by faith,faith and works,3,3,NPNF1_05_EVID_01406_BODY_01,NPNF1_05,NPNF1-05. St. Augustine: Anti-Pelagian Writings,Augustine of Hippo,1406,Why the Apostle Said that We are Justified by Faith and Not by Works.,faith; works,faith; works,faith~works in heading (12); works~faith in heading (12); faith~works in body (6); works~faith in body (6),2026-09-04T17:19:48.899911+00:00,pending
by works,by works,faith and works,3,2,JOHN_OWEN_JUST_EVID_00385_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,385,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (5); works~faith in body (5),2026-09-04T17:19:48.899911+00:00,pending
image of god is to,image of god is to,image of God,3,2,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
of god is to,of god is to,image of God,3,2,AQUINAS_SUMMA_EVID_01200_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,1200,Article. 2 - Whether the image of God is to be found in irrational creatures?,god; image,god; image of god,image~image of god in heading (0); image~god in heading (4); god~image of god in heading (0); image~image of god in body (0),2026-09-04T17:19:48.899911+00:00,pending
1 whether original sin,1 whether original sin,original sin,3,2,AQUINAS_NATURE_GRACE_EVID_00128_BODY_01,AQUINAS_NATURE_GRACE,Nature and Grace: Selections from the Summa Theologica of Thomas Aquinas,Thomas Aquinas,128,Art. 1: Whether Original Sin is a Habit,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
3 whether original sin,3 whether original sin,original sin,3,2,AQUINAS_SUMMA_EVID_02333_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2333,Article. 3 - Whether original sin is concupiscence?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
4 whether original sin,4 whether original sin,original sin,3,2,AQUINAS_SUMMA_EVID_02335_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2335,Article. 4 - Whether original sin is equally in all?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
one essence,one essence,relationship between three persons in trinity,3,2,NPNF1_03_EVID_00267_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,267,"Why We Do Not in the Trinity Speak of One Person, and Three Essences. What He Ought to Believe Concerning the Trinity Who Does Not Receive What is Said Above. Man is Both After the Image, and is the Image of God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (26); persons~three persons in heading (0); persons~trinity in heading (14),2026-09-04T17:19:48.899911+00:00,pending
the holy spirit,the holy spirit,relationship between three persons in trinity,3,2,NPNF1_03_EVID_00266_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,266,"Why We Do Not in the Trinity Speak of One Person, and Three Essences. What He Ought to Believe Concerning the Trinity Who Does Not Receive What is Said Above. Man is Both After the Image, and is the Image of God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (26); persons~three persons in heading (0); persons~trinity in heading (14),2026-09-04T17:19:48.899911+00:00,pending
besides the intellectual soul,besides the intellectual soul,Animal soul,3,1,AQUINAS_SUMMA_EVID_00988_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,988,Article. 3 - Whether besides the intellectual soul there are in man other souls essentially different from one another?,animal; soul,soul,animal~soul in body (6),2026-09-04T17:19:48.899911+00:00,pending
sensitive soul,sensitive soul,Animal soul,3,1,AQUINAS_SUMMA_EVID_00986_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,986,Article. 3 - Whether besides the intellectual soul there are in man other souls essentially different from one another?,animal; soul,soul,animal~soul in body (18),2026-09-04T17:19:48.899911+00:00,pending
on the procession of,on the procession of,procession of the spirit,3,1,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
on the procession of the,on the procession of the,procession of the spirit,3,1,PHILIP_SCHAFF_HCC4_EVID_00438_BODY_01,PHILIP_SCHAFF_HCC4,"History of the Christian Church, Volume IV: Mediaeval Christianity. A.D. 590-1073",Philip Schaff,438,The Controversy on the Procession of the Holy Spirit,procession; spirit,,,2026-09-04T17:19:48.899911+00:00,pending
latins of three persons,latins of three persons,relationship between three persons in trinity,3,1,NPNF1_03_EVID_00263_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,263,"How It Was Brought About that the Greeks Speak of Three Hypostases, the Latins of Three Persons. Scripture Nowhere Speaks of Three Persons in One God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (71); persons~three persons in heading (0); persons~trinity in heading (63),2026-09-04T17:19:48.899911+00:00,pending
latins of three persons scripture,latins of three persons scripture,relationship between three persons in trinity,3,1,NPNF1_03_EVID_00263_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,263,"How It Was Brought About that the Greeks Speak of Three Hypostases, the Latins of Three Persons. Scripture Nowhere Speaks of Three Persons in One God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (71); persons~three persons in heading (0); persons~trinity in heading (63),2026-09-04T17:19:48.899911+00:00,pending
of three persons,of three persons,relationship between three persons in trinity,3,1,NPNF1_03_EVID_00263_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,263,"How It Was Brought About that the Greeks Speak of Three Hypostases, the Latins of Three Persons. Scripture Nowhere Speaks of Three Persons in One God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (71); persons~three persons in heading (0); persons~trinity in heading (63),2026-09-04T17:19:48.899911+00:00,pending
of three persons in,of three persons in,relationship between three persons in trinity,3,1,NPNF1_03_EVID_00263_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,263,"How It Was Brought About that the Greeks Speak of Three Hypostases, the Latins of Three Persons. Scripture Nowhere Speaks of Three Persons in One God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (71); persons~three persons in heading (0); persons~trinity in heading (63),2026-09-04T17:19:48.899911+00:00,pending
of three persons in one,of three persons in one,relationship between three persons in trinity,3,1,NPNF1_03_EVID_00263_BODY_01,NPNF1_03,NPNF1-03. On the Holy Trinity; Doctrinal Treatises; Moral Treatises,Augustine of Hippo,263,"How It Was Brought About that the Greeks Speak of Three Hypostases, the Latins of Three Persons. Scripture Nowhere Speaks of Three Persons in One God.",persons; three; trinity,essence; father; holy spirit; substance; three persons; trinity,three~three persons in heading (0); three~trinity in heading (71); persons~three persons in heading (0); persons~trinity in heading (63),2026-09-04T17:19:48.899911+00:00,pending
the animal soul,the animal soul,Animal soul,2,2,PHILIP_SCHAFF_HCC1_EVID_00481_BODY_01,PHILIP_SCHAFF_HCC1,"History of the Christian Church, Volume I: Apostolic Christianity. A.D. 1-100",Philip Schaff,481,John and the Gospel of Love,animal; soul,soul,animal~soul in body (1),2026-09-04T17:19:48.899911+00:00,pending
the human soul,the human soul,Animal soul,2,2,AQUINAS_GENTILES_EVID_00303_BODY_01,AQUINAS_GENTILES,Of God and His Creatures,Thomas Aquinas,303,Chapter LXXXVI. That the Human Soul is not transmitted by Generation,animal; soul,soul,animal~soul in body (57),2026-09-04T17:19:48.899911+00:00,pending
concerning faith,concerning faith,faith and works,2,2,JOHN_OWEN_JUST_EVID_00372_BODY_01,JOHN_OWEN_JUST,The Doctrine of Justification by Faith,John Owen,372,Chapter XX. The doctrine of the apostle James concerning faith and works. Its agreement with that of St Paul.,faith; works,faith; works,faith~works in heading (5); works~faith in heading (5); faith~works in body (2); works~faith in body (2),2026-09-04T17:19:48.899911+00:00,pending
by the law,by the law,live under law,2,2,LUTHER_GALATIANS_EVID_00053_BODY_01,LUTHER_GALATIANS,A Commentary on St. Paul's Epistle to the Galatians,Martin Luther,53,Galatians 2,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
lived under the law,lived under the law,live under law,2,2,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
who lived,who lived,live under law,2,2,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
1 whether original sin is,1 whether original sin is,original sin,2,2,AQUINAS_NATURE_GRACE_EVID_00128_BODY_01,AQUINAS_NATURE_GRACE,Nature and Grace: Selections from the Summa Theologica of Thomas Aquinas,Thomas Aquinas,128,Art. 1: Whether Original Sin is a Habit,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
4 whether original sin is,4 whether original sin is,original sin,2,2,AQUINAS_SUMMA_EVID_02335_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2335,Article. 4 - Whether original sin is equally in all?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
