candidate_phrase,normalized_phrase,query,occurrence_count,source_count,evidence_id,source_id,source_title,author,page_number,heading,matched_raw_terms,matched_registered_terms,proximity_reason,first_seen_at,status
the old law was,the old law was,live under law,1,1,AQUINAS_SUMMA_EVID_02491_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2491,Article. 1 - Whether the Old Law was good?,law; live,law,live~law in body (9),2026-09-04T17:19:48.899911+00:00,pending
the old law was good,the old law was good,live under law,1,1,AQUINAS_SUMMA_EVID_02491_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2491,Article. 1 - Whether the Old Law was good?,law; live,law,live~law in body (9),2026-09-04T17:19:48.899911+00:00,pending
this law,this law,live under law,1,1,JOHN_OWEN_INDWELLINGSIN_EVID_00020_BODY_01,JOHN_OWEN_INDWELLINGSIN,"The Nature, Power, Deceit, and Prevelancy of the Remainders of Indwelling Sin in Believers",John Owen,20,Chapter II. Indwelling sin a law — In what sense it is so called — What kind of law it is — An inward effective principle called a law — The power of sin thence evinced.,law; live,law,live~law in body (18),2026-09-04T17:19:48.899911+00:00,pending
those of the law,those of the law,live under law,1,1,NPNF2_11_EVID_01373_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1373,Chapter XXXIII. Of the fact that the precepts of the gospel are milder than those of the law.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
those of the law the,those of the law the,live under law,1,1,NPNF2_11_EVID_01373_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1373,Chapter XXXIII. Of the fact that the precepts of the gospel are milder than those of the law.,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
time of the law,time of the law,live under law,1,1,NPNF1_05_EVID_00779_BODY_01,NPNF1_05,NPNF1-05. St. Augustine: Anti-Pelagian Writings,Augustine of Hippo,779,"The Righteous Men Who Lived in the Time of the Law Were for All that Not Under the Law, But Under Grace. The Grace of the New Testament Hidden Under the Old.",law; live,law,live~law in heading (20); live~law in body (20),2026-09-04T17:19:48.899911+00:00,pending
to live in,to live in,live under law,1,1,CHARLES_HADDON_SPURGEON_SERMONS55_EVID_00289_BODY_01,CHARLES_HADDON_SPURGEON_SERMONS55,Spurgeon's Sermons Volume 55: 1909,Charles Haddon Spurgeon,289,Sermon 3148. Christ's Ambassadors,law; live,law,live~law in body (9),2026-09-04T17:19:48.899911+00:00,pending
to live in any,to live in any,live under law,1,1,CHARLES_HADDON_SPURGEON_SERMONS55_EVID_00289_BODY_01,CHARLES_HADDON_SPURGEON_SERMONS55,Spurgeon's Sermons Volume 55: 1909,Charles Haddon Spurgeon,289,Sermon 3148. Christ's Ambassadors,law; live,law,live~law in body (9),2026-09-04T17:19:48.899911+00:00,pending
to live where,to live where,live under law,1,1,CHARLES_HADDON_SPURGEON_SERMONS55_EVID_00289_BODY_01,CHARLES_HADDON_SPURGEON_SERMONS55,Spurgeon's Sermons Volume 55: 1909,Charles Haddon Spurgeon,289,Sermon 3148. Christ's Ambassadors,law; live,law,live~law in body (9),2026-09-04T17:19:48.899911+00:00,pending
under law a treatise,under law a treatise,live under law,1,1,NPNF1_05_EVID_01103_BODY_01,NPNF1_05,NPNF1-05. St. Augustine: Anti-Pelagian Writings,Augustine of Hippo,1103,"That the Apostle is Speaking in His Own Person and that of Others Who Are Under Grace, Not Still Under Law.",law,law,,2026-09-04T17:19:48.899911+00:00,pending
unto the law,unto the law,live under law,1,1,LUTHER_GALATIANS_EVID_00053_BODY_01,LUTHER_GALATIANS,A Commentary on St. Paul's Epistle to the Galatians,Martin Luther,53,Galatians 2,law; live,law,live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
who lived under,who lived under,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
who lived under the,who lived under the,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
who lived under the law,who lived under the law,live under law,1,1,NPNF2_11_EVID_01248_BODY_01,NPNF2_11,"NPNF-211. Sulpitius Severus, Vincent of Lerins, John Cassian",John Cassian,1248,"Chapter XVIII. An objection that only those men employed lies with impunity, who lived under the law.",law; live,law,live~law in heading (11); live~law in body (11),2026-09-04T17:19:48.899911+00:00,pending
2 whether original sin,2 whether original sin,original sin,1,1,AQUINAS_SUMMA_EVID_02339_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2339,Article. 2 - Whether original sin is in the essence of the soul rather than in the powers?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
2 whether original sin is,2 whether original sin is,original sin,1,1,AQUINAS_SUMMA_EVID_02339_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2339,Article. 2 - Whether original sin is in the essence of the soul rather than in the powers?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
3 whether original sin infects,3 whether original sin infects,original sin,1,1,AQUINAS_SUMMA_EVID_02341_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2341,Article. 3 - Whether original sin infects the will before the other powers?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
4 whether original sin would,4 whether original sin would,original sin,1,1,AQUINAS_SUMMA_EVID_02325_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2325,Article. 4 - Whether original sin would be contracted by a person formed miraculously from human flesh?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
82 of original sin,82 of original sin,original sin,1,1,AQUINAS_SUMMA_EVID_02328_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2328,"Question. 82 - OF ORIGINAL SIN, AS TO ITS ESSENCE (FOUR ARTICLES)",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
82 of original sin as,82 of original sin as,original sin,1,1,AQUINAS_SUMMA_EVID_02328_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,2328,"Question. 82 - OF ORIGINAL SIN, AS TO ITS ESSENCE (FOUR ARTICLES)",original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
account of original,account of original,original sin,1,1,AQUINAS_SUMMA_EVID_05941_BODY_01,AQUINAS_SUMMA,Summa Theologica,Thomas Aquinas,5941,Article. 2 - Whether contrition should be on account of original sin?,original; sin,original sin; sin,original~original sin in heading (0); original~sin in heading (1); sin~original sin in heading (0); original~original sin in body (0),2026-09-04T17:19:48.899911+00:00,pending
